,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
307,Berlin,2480.0,221.0,6.0,Berlin,2000.0,,3.0
308,Berlin,920.0,77.0,3.0,Berlin,700.0,,1.0
309,Berlin,600.0,45.0,1.0,Berlin,1500.0,,2.0
310,Berlin,392.0,52.0,2.0,Berlin,850.0,,3.0
311,Berlin,1250.0,90.0,3.0,Berlin,1000.0,,2.0
312,Berlin,350.0,38.0,,Berlin,1200.0,,2.0
313,Berlin,554.0,56.0,2.0,Berlin,1000.0,,
314,Berlin,480.0,64.0,2.0,Berlin,1200.0,,3.0
315,Berlin,670.0,53.0,2.0,Berlin,1000.0,,2.0
316,Berlin,1300.0,111.0,4.0,Berlin,950.0,,3.0
317,Berlin,383.0,58.0,2.0,Berlin,900.0,,
318,Berlin,420.0,50.0,2.0,Berlin,900.0,,
319,Berlin,650.0,54.0,2.0,Berlin,1400.0,,
320,Berlin,700.0,63.0,2.0,Berlin,1450.0,,3.0
321,Berlin,750.0,72.0,2.0,Berlin,1700.0,,3.0
322,Berlin,750.0,63.0,,Köln,900.0,,
323,Berlin,653.0,60.0,2.0,Berlin,850.0,,3.0
324,Berlin,560.0,65.0,,Berlin,1800.0,,
325,Berlin,300.0,50.0,,Berlin,500.0,,1.0
326,Berlin,550.0,50.0,2.0,Berlin,1000.0,,2.0
327,Berlin,580.0,58.0,2.0,Berlin,1800.0,,4.0
328,Berlin,411.0,55.0,2.0,Berlin,1400.0,,1.0
329,Berlin,1230.0,94.0,4.0,Berlin,1250.0,,
330,Berlin,480.0,77.0,2.0,Berlin,2000.0,,1.0
331,Berlin,602.0,62.0,2.0,Berlin,1500.0,,3.0
332,Berlin,370.0,43.0,,Berlin,1000.0,,
333,Berlin,733.0,73.0,2.0,Berlin,1350.0,,2.0
334,Berlin,397.0,55.0,2.0,Berlin,1200.0,,3.0
335,Berlin,490.0,45.0,,Berlin,1000.0,,2.0
336,Berlin,270.0,53.0,2.0,Berlin,1500.0,,3.0
337,Berlin,520.0,67.0,,Berlin,1000.0,,
338,Berlin,680.0,69.0,2.0,Berlin,450.0,,
339,Berlin,400.0,35.0,1.0,Berlin,650.0,,1.0
340,Berlin,750.0,78.0,2.0,Berlin,1300.0,,
341,Berlin,513.0,84.0,,Berlin,1600.0,,4.0
342,Berlin,825.0,70.0,2.0,Berlin,700.0,,2.0
343,Berlin,460.0,62.0,2.0,Berlin,1200.0,,2.0
344,Berlin,560.0,93.0,3.0,Berlin,1200.0,,4.0
345,Berlin,610.0,45.0,2.0,Berlin,600.0,,1.0
346,Berlin,800.0,65.0,2.0,Berlin,3000.0,,
