,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
206,Berlin,1190 €,179 m²,3,Berlin,1.300 €,90 m²,3
207,Berlin,500 €,70 m²,2,Berlin,800 €,60 m²,2
208,Berlin,1750 €,100 m²,4,Berlin,1.050 €,75 m²,"2,5"
209,Berlin,730 €,59 m²,2,Berlin,900 €,50 m²,"1,5"
210,Berlin,650 €,65 m²,3,Berlin,1.250 €,80 m²,4
211,Berlin,800 €,100 m²,3,Berlin,1.300 €,100 m²,"4,5"
212,Berlin,900 €,75 m²,3,Berlin,800 €,45 m²,2
213,Berlin,650 €,52 m²,2,Berlin,1.550 €,60 m²,3
214,Berlin,630 €,76 m²,2,Berlin,1.100 €,80 m²,3
215,Berlin,1500 €,72 m²,2,Berlin,1.650 €,72 m²,3
216,Berlin,430 €,51 m²,2,Berlin,1.400 €,90 m²,3
217,Berlin,532 €,57 m²,2,Berlin,900 €,70 m²,2
218,Berlin,400 €,40 m²,"1,5",Berlin,1.500 €,55 m²,2
219,Berlin,500 €,59 m²,2,Berlin,1.300 €,85 m²,3
220,Berlin,550 €,42 m²,2,Berlin,800 €,40 m²,1
221,Berlin,350 €,60 m²,"2,5",Berlin,800 €,75 m²,3
222,Berlin,700 €,100 m²,"3,5",Berlin,1.300 €,90 m²,3
223,Berlin,700 €,70 m²,2,Berlin,1.600 €,85 m²,3
224,Berlin,660 €,118 m²,4,Berlin,1.000 €,100 m²,3
225,Berlin,1200 €,125 m²,4,Berlin,1.300 €,85 m²,3
226,Berlin,775 €,50 m²,2,Berlin,1.500 €,55 m²,"2,5"
227,Berlin,435 €,51 m²,2,Berlin,600 €,44 m²,"1,5"
228,Berlin,420 €,60 m²,3,Hannover,1.000 €,50 m²,2
229,Berlin,900 €,114 m²,"3,5",Berlin,500 €,60 m²,"2,5"
230,Berlin,1150 €,85 m²,"2,5",Berlin,1.400 €,90 m²,3
231,Berlin,450 €,76 m²,"3,5",Berlin,1.000 €,80 m²,3
232,Berlin,480 €,62 m²,2,Berlin,1.000 €,90 m²,3
233,Berlin,1221 €,87 m²,3,Berlin,1.000 €,50 m²,"2,5"
234,Berlin,1290 €,140 m²,4,Berlin,1.300 €,90 m²,"3,5"
235,Berlin,682 €,65 m²,2,Berlin,2.000 €,3 m²,3
236,Berlin,690 €,72 m²,3,Berlin,900 €,62 m²,"2,5"
237,Berlin,600 €,60 m²,2,Berlin,1.500 €,80 m²,3
238,Berlin,1137 €,88 m²,"3,5",Berlin,1.450 €,70 m²,"2,5"
239,Berlin,377 €,50 m²,2,Berlin,1.200 €,68 m²,"2,5"
240,Berlin,475 €,60 m²,2,Berlin,1.500 €,65 m²,3
241,Berlin,640 €,50 m²,2,Berlin,600 €,55 m²,"2,5"
242,Berlin,695 €,81 m²,2,Berlin,1.100 €,80 m²,2
243,Berlin,715 €,83 m²,2,Berlin,1.000 €,70 m²,"2,5"
244,Berlin,440 €,40 m²,1,Berlin,1.700 €,50 m²,2
